DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20171021,5,9,13,17,21,50
20171022,8,15,18,25,35,44
20171025,5,16,23,41,49,50
20171028,25,27,30,33,35,50
20171029,15,23,25,27,32,40
20171031,2,3,10,27,31,49
20171101,1,7,28,36,39,42
20171104,13,26,29,30,46,48
20171105,15,16,23,25,32,50
20171107,13,16,34,40,48,50
20171108,11,12,15,28,33,37
20171111,14,19,21,31,36,42
20171112,11,15,21,26,30,48
20171115,13,21,26,39,42,45
20171118,20,27,34,37,45,47
20171119,4,8,9,10,20,32
20171122,2,5,6,29,40,41
20171125,19,26,32,37,42,49
20171126,1,9,15,23,32,46
20171128,3,13,18,32,44,45
20171129,13,16,25,37,44,50
20171202,10,11,12,35,45,50
20171203,5,6,15,32,35,37
20171205,6,24,32,34,43,44
20171206,9,11,13,25,26,38
20171209,9,10,14,28,32,35
20171210,1,13,16,28,43,45
20171213,3,5,15,26,29,35
20171216,23,24,30,35,37,42
20171217,6,12,32,37,38,50
20171220,6,9,19,31,33,49
20171223,2,18,22,25,31,37
20171224,20,21,29,46,49,50
20171226,1,2,9,33,35,46
20171227,4,7,22,33,41,49
20171230,1,22,39,44,46,49
20171231,9,29,37,41,42,43
20180103,3,8,12,40,42,47
20180106,1,27,39,40,41,43
20180107,10,11,24,33,42,45
20180110,28,29,30,34,42,48
20180113,8,22,27,31,33,50
20180114,7,12,26,30,33,35
20180116,1,3,23,27,28,42
20180117,3,8,11,27,29,37
20180120,6,16,17,21,26,38
20180121,4,7,17,33,38,43
20180124,5,16,31,36,43,46
20180127,17,23,28,35,48,49
20180128,9,15,21,23,40,44
20180130,10,12,22,23,32,48
20180131,22,25,28,31,39,41
20180203,12,20,23,33,37,41
20180204,7,10,16,18,29,39
20180206,4,21,26,38,42,47
20180207,14,27,29,37,46,47
20180210,1,6,9,17,20,23
20180211,2,18,23,26,31,36
20180213,12,17,30,32,46,49
20180214,11,13,27,28,38,42
20180217,2,3,30,34,37,49
20180218,29,33,36,46,47,50
20180220,8,21,24,34,37,49
20180221,2,10,12,16,40,44
20180224,1,10,30,39,45,47
20180225,10,13,23,37,41,45
20180227,27,29,32,43,46,48
20180228,13,22,24,29,31,49
20180303,25,26,27,31,39,42
20180304,22,26,32,41,43,48
20180306,6,13,16,32,34,45
20180307,4,13,16,21,39,49
20180310,14,22,23,27,32,46
20180311,17,19,21,24,25,27
20180314,15,17,33,36,38,44
20180317,6,7,25,31,47,49
20180318,13,27,29,39,46,47
20180321,3,7,15,16,48,49
20180324,14,17,29,35,39,44
20180325,11,20,21,38,40,49
20180328,7,10,17,21,29,33
20180331,8,9,10,11,34,47
20180401,12,17,21,26,33,37
20180403,2,9,21,24,36,46
20180404,8,18,25,46,47,49
20180407,9,24,29,35,36,42
20180408,6,21,22,24,34,36
20180411,9,17,22,29,35,50
20180414,11,15,32,35,48,49
20180415,17,28,34,36,39,40
20180418,6,12,24,33,34,50
20180421,1,6,17,22,33,43
20180422,23,28,31,40,42,43
20180425,1,20,22,30,31,33
20180428,6,15,31,38,40,49
20180429,9,26,30,36,43,44
20180501,2,12,18,29,38,47
20180502,1,2,5,11,23,24
20180505,5,8,15,32,42,45
20180506,3,22,23,29,45,47
20180509,1,7,8,33,36,50
20180512,5,12,16,25,35,36
20180513,13,15,26,30,41,48
20180516,6,14,22,23,31,32
20180519,6,21,23,40,41,43
20180520,8,21,36,37,42,43
20180523,11,13,18,41,49,50
20180526,24,31,36,41,43,50
20180527,14,15,17,19,20,23
20180530,17,38,43,45,47,49
20180602,13,22,25,37,39,45
20180603,2,15,16,18,21,36
20180606,14,26,35,40,41,42
20180609,6,8,17,18,40,41
20180610,19,21,22,26,33,41
20180613,1,5,20,24,34,45
20180616,8,10,31,32,33,48
20180617,2,10,15,16,31,47
20180620,1,14,27,42,44,48
20180623,3,24,41,45,46,47
20180624,20,28,29,33,36,38
20180626,4,11,17,18,25,39
20180627,5,14,20,33,36,49
20180630,6,8,15,19,31,48
20180701,7,26,30,37,44,49
20180703,8,9,10,12,37,40
20180704,3,8,14,30,32,42
20180707,3,4,14,17,34,45
20180708,9,12,13,18,35,47
20180711,3,28,29,33,43,45
20180714,1,17,32,35,43,45
20180715,3,26,27,29,37,39
20180718,12,20,28,38,40,43
20180721,3,4,14,24,31,38
20180722,2,4,7,18,35,36
20180725,5,10,31,36,38,42
20180728,2,6,9,11,29,43
20180729,3,6,34,38,43,50
20180731,9,11,17,26,30,44
20180801,1,2,3,8,15,33
20180804,14,20,25,26,31,46
20180805,8,18,19,20,30,50
20180807,7,8,16,36,46,48
20180808,15,18,22,37,41,50
20180811,1,3,15,25,29,38
20180812,9,23,24,27,32,46
20180815,5,12,13,20,31,39
20180818,4,26,35,37,39,42
20180819,3,4,8,15,25,50
20180822,7,12,17,29,34,44
20180825,13,16,22,30,35,46
20180826,4,15,19,21,26,44
20180828,4,5,17,29,37,40
20180829,9,15,20,32,35,46
20180901,2,13,18,20,26,32
20180902,5,13,14,33,36,50
20180904,2,8,19,39,40,49
20180905,7,20,21,30,32,49
20180908,11,13,27,34,42,49
20180909,1,11,19,33,37,48
20180912,13,14,16,25,29,32
20180915,1,8,10,32,43,47
20180916,3,8,18,30,43,49
20180919,9,10,12,25,33,46
20180922,2,13,18,20,33,36
20180923,3,13,33,35,48,50
20180925,10,13,23,36,39,50
20180926,9,13,26,34,42,45
20180929,2,12,16,21,26,44
20180930,1,8,17,19,25,50
20181002,4,6,28,35,40,46
20181003,3,4,8,10,24,33
20181006,6,14,18,42,48,49
20181007,9,22,24,38,41,47
20181010,6,13,19,29,36,45
20181013,14,23,27,32,35,38
20181014,7,17,23,36,38,41
20181017,10,12,23,27,28,47
20181020,27,38,39,40,47,50
20181021,4,26,35,42,46,50
20181024,4,17,37,41,44,49
20181027,11,13,23,24,42,45
20181028,18,23,24,30,36,42
20181030,23,28,32,36,39,42
20181031,4,8,11,21,26,38
20181103,4,13,22,28,36,40
20181104,5,16,19,30,36,39
20181106,12,16,18,21,22,46
20181107,8,18,23,44,46,48
20181110,21,26,29,40,47,48
20181111,2,10,12,20,28,36
20181114,3,16,31,36,44,46
20181117,5,8,17,22,34,50
20181118,5,15,22,29,32,43
20181121,6,8,23,31,32,38
20181124,15,16,24,37,41,47
20181125,2,14,19,25,27,42
20181127,5,19,20,25,34,43
20181128,6,11,18,19,25,39
20181201,12,14,22,32,40,47
20181202,1,5,16,29,40,47
20181204,2,19,23,25,38,45
20181205,1,7,21,22,38,45
20181208,15,36,38,41,42,50
20181209,11,23,30,33,37,49
20181212,15,27,38,42,44,48
20181215,2,9,17,47,48,49
20181216,4,12,13,18,24,47
20181219,5,9,20,22,33,42
20181222,6,10,20,22,23,48
20181223,1,23,30,36,38,47
20181225,20,28,38,40,49,50
20181226,21,25,27,35,38,46
20181229,12,20,22,27,39,42
20181230,1,2,3,7,30,49
20190102,26,32,35,38,45,50
20190105,1,10,14,31,41,48
20190106,1,6,10,41,44,49
20190109,4,6,14,22,34,44
20190112,1,17,18,27,48,49
20190113,4,5,8,14,17,48
20190116,13,14,17,18,22,42
20190119,10,12,16,17,22,35
20190120,2,4,14,19,35,40
20190123,3,21,24,26,31,40
20190126,1,6,16,32,42,50
20190127,8,13,14,19,27,42
20190129,6,17,24,39,42,47
20190130,2,17,20,32,35,39
20190202,6,7,18,19,34,37
20190203,1,31,37,39,46,48
20190205,5,12,14,24,33,45
20190206,2,13,14,24,30,34
20190209,10,12,14,17,22,42
20190210,5,11,18,20,21,31
20190213,3,22,26,34,44,50
20190216,1,8,18,31,35,42
20190217,13,14,15,34,44,48
20190219,4,20,35,36,38,45
20190220,2,6,19,20,33,35
20190223,2,10,24,27,35,37
20190224,13,26,31,34,40,45
20190227,8,13,24,28,40,41
20190302,7,22,25,26,41,48
20190303,4,12,26,27,40,47
20190306,3,6,14,22,23,47
20190309,32,34,42,43,44,50
20190310,5,15,27,29,34,43
20190313,7,13,17,30,38,43
20190316,12,18,22,28,32,44
20190317,3,10,16,17,35,39
20190320,3,8,9,28,47,49
20190323,1,14,16,34,42,43
20190324,1,12,30,31,33,49
20190327,4,5,11,13,26,50
20190330,19,23,24,37,40,49
20190331,5,15,19,24,38,49
20190402,6,26,30,31,35,48
20190403,6,9,19,24,47,50
20190406,4,30,40,41,45,49
20190407,4,8,14,24,38,40
20190410,13,21,36,38,43,50
20190413,2,13,31,44,48,49
20190414,16,31,34,35,47,48
20190417,13,16,19,24,32,35
20190420,3,9,14,31,35,47
20190421,4,28,36,41,45,47
20190424,5,15,34,35,44,45
20190427,7,8,13,19,31,43
20190428,2,4,16,34,35,50
20190501,1,6,34,39,40,47
20190504,5,16,22,27,28,41
20190505,16,17,20,27,39,40
20190508,3,5,19,25,33,38
20190511,9,12,22,25,32,46
20190512,4,7,21,24,25,45
20190515,1,24,31,44,46,49
20190518,17,22,28,36,38,49
20190519,5,11,16,25,34,45
20190522,2,5,6,11,28,47
20190525,7,16,18,19,31,38
20190526,3,14,25,38,46,49
20190529,6,8,11,13,32,43
20190601,16,18,23,24,29,44
20190602,2,13,16,20,37,45
20190605,9,22,26,31,33,38
20190608,13,25,26,31,32,39
20190609,13,17,21,22,30,40
20190612,5,18,20,27,36,39
20190615,22,27,31,33,42,49
20190616,9,18,22,24,35,50
20190618,3,4,19,24,34,47
20190619,7,12,16,17,31,44
20190622,1,7,22,28,29,42
20190623,2,10,29,30,43,50
20190626,14,15,19,40,42,43
20190629,2,7,19,33,41,44
20190630,2,12,27,31,45,46
20190703,3,13,20,24,27,49
20190706,11,12,24,25,43,48
20190707,14,16,24,31,35,45
20190710,5,11,14,19,34,37
20190713,10,16,30,42,43,46
20190714,1,20,32,40,41,44
20190717,9,13,34,35,39,46
20190720,5,7,15,24,27,41
20190721,4,20,30,46,48,50
20190724,14,18,28,30,43,46
20190727,4,8,18,23,48,50
20190728,6,12,21,34,36,43
20190730,7,13,17,24,29,31
20190731,1,18,19,24,37,49
20190803,1,5,20,21,34,46
20190804,3,23,31,39,41,43
20190807,5,8,16,27,34,48
20190810,2,3,9,14,19,24
20190811,2,11,19,23,36,39
20190814,8,23,31,32,45,50
20190817,9,17,20,21,41,47
20190818,1,2,5,11,24,31
20190820,22,29,32,38,39,43
20190821,2,4,17,19,43,44
20190824,10,11,30,34,42,48
20190825,7,13,33,34,36,48
20190828,5,18,33,36,38,40
20190831,6,8,14,18,20,40
20190901,3,6,21,37,45,49
20190904,11,16,18,22,33,48
20190907,17,19,27,37,47,48
20190908,12,23,27,32,33,39
20190910,1,4,5,14,31,43
20190911,20,27,30,36,43,50
20190914,6,17,26,27,30,31
20190915,2,12,24,35,47,50
20190918,3,10,18,21,24,49
20190921,24,33,34,35,37,43
20190922,2,9,19,26,41,43
20190925,5,8,9,12,44,50
20190928,7,11,18,27,30,34
20190929,2,11,25,36,44,48
20191001,5,10,25,26,30,43
20191002,4,16,23,28,35,37
20191005,7,9,19,20,31,36
20191006,8,11,18,19,38,48
20191009,9,13,20,40,43,46
20191012,15,21,29,31,40,48
20191013,8,21,29,35,44,47
20191016,6,12,19,21,41,49
20191019,3,12,15,23,26,27
20191020,6,11,12,35,36,38
20191023,15,16,37,41,45,47
20191026,8,20,32,36,41,46
20191027,9,15,22,31,35,46
20191030,25,27,33,42,47,50
20191102,5,10,21,33,34,43
20191103,2,15,20,29,32,45
20191105,6,14,30,38,43,48
20191106,1,8,19,21,37,39
20191109,22,32,40,41,45,49
20191110,12,20,23,32,44,48
20191113,3,8,27,41,43,44
20191116,5,8,25,30,36,46
20191117,1,16,25,29,37,49
20191120,6,13,18,37,39,41
20191123,9,17,23,30,32,33
20191124,4,6,19,24,29,34
20191127,3,21,26,32,37,41
20191130,2,11,13,29,30,40
20191201,9,11,18,24,28,32
20191203,15,17,20,29,30,45
20191204,14,19,32,39,42,47
20191207,14,16,19,20,36,46
20191208,5,7,9,23,33,38
20191211,8,17,20,35,38,41
20191214,1,3,5,27,31,39
20191215,1,26,28,32,38,41
20191218,3,6,29,31,36,46
20191221,7,25,27,33,45,50
20191222,4,5,7,24,38,49
20191225,8,11,25,28,39,48
20191228,5,10,14,17,28,37
20191229,8,15,33,38,44,49
20200101,23,27,36,37,38,49
20200104,3,5,12,27,38,48
20200105,1,27,28,35,45,47
20200108,5,10,14,34,36,48
20200111,5,11,30,37,41,50
20200112,2,7,8,17,28,39
20200115,5,7,15,24,47,50
20200118,5,11,30,40,44,46
20200119,2,3,29,32,36,44
20200121,10,19,26,42,43,49
20200122,4,6,16,35,41,49
20200125,1,12,13,29,34,44
20200126,12,23,33,36,47,50
20200128,5,14,30,42,49,50
20200129,12,18,19,20,26,46
20200201,10,12,13,17,29,34
20200202,6,8,19,37,38,43
20200204,19,25,34,35,47,48
20200205,18,31,35,44,48,49
20200208,6,14,20,42,44,46
20200209,11,14,16,18,34,37
20200212,18,31,35,39,47,50
20200215,2,7,11,15,16,25
20200216,3,8,28,33,34,35
20200219,26,39,40,41,44,45
20200222,9,11,18,28,32,33
20200223,1,2,15,18,25,36
20200226,1,2,9,10,25,36
20200229,2,14,18,19,21,42
20200301,1,22,24,36,39,50
20200304,15,16,19,26,32,36
20200307,2,23,26,40,43,45
20200308,17,24,27,28,31,43
20200311,3,4,6,16,19,48
20200314,3,12,35,38,43,48
20200315,7,18,27,37,40,44
20200617,16,32,38,42,45,49
20200620,2,13,27,28,35,45
20200621,3,10,13,29,33,48
20200624,6,11,24,35,47,50
20200627,12,22,25,33,37,44
20200628,14,27,32,35,42,46
20200701,3,4,5,11,39,42
20200704,2,6,18,19,33,43
20200705,14,27,30,32,41,46
20200707,5,13,23,35,37,46
20200708,15,18,22,24,38,48
20200711,2,5,22,29,37,47
20200712,14,19,35,38,39,50
20200715,2,7,10,17,38,46
20200718,4,11,14,28,30,42
20200719,3,15,22,34,43,47
20200722,3,4,8,10,11,27
20200725,9,12,19,20,29,47
20200726,10,12,19,22,39,40
20200729,2,6,16,24,35,50
20200801,2,6,17,20,26,29
20200802,3,7,19,30,42,45
20200805,8,14,34,35,37,44
20200808,5,10,12,21,42,49
20200809,14,25,30,44,48,50
20200812,11,14,17,24,32,43
20200815,8,14,15,16,28,33
20200816,26,31,32,33,36,44
20200819,5,10,18,22,40,44
20200822,3,26,34,39,40,49
20200823,5,7,11,23,31,37
20200826,5,13,17,23,27,49
20200829,7,11,14,21,27,45
20200830,2,24,34,37,45,46
20200901,10,17,26,29,33,39
20200902,9,19,23,36,42,45
20200905,12,14,17,42,43,49
20200906,1,15,24,30,47,48
20200909,7,8,21,40,45,48
20200912,9,16,37,39,45,49
20200913,8,9,10,11,14,27
20200916,15,28,33,41,48,50
20200919,2,18,23,36,47,48
20200920,4,18,24,32,34,43
20200923,8,16,32,39,44,47
20200926,16,20,21,35,41,45
20200927,9,19,20,35,40,46
20200930,6,14,15,21,23,43
20201003,6,9,18,29,30,32
20201004,11,15,27,32,35,38
20201007,3,7,13,29,35,42
20201010,5,11,16,23,28,43
20201011,8,13,15,27,33,41
20201013,9,23,30,38,43,50
20201014,1,9,17,34,43,44
20201017,2,18,19,28,32,43
20201018,1,16,34,36,41,50
20201021,5,7,13,16,23,26
20201024,2,7,33,34,48,50
20201025,3,4,25,28,30,46
20201028,6,12,19,23,39,42
20201031,10,31,35,38,40,46
20201101,4,5,23,27,31,47
20201103,8,12,13,34,44,50
20201104,6,15,22,30,37,45
20201107,7,8,17,33,38,49
20201108,9,16,41,44,45,46
20201111,1,3,8,19,28,34
20201114,5,10,13,14,27,46
20201115,9,14,24,31,33,43
20201118,1,2,11,12,15,34
20201121,16,25,34,38,43,49
20201122,8,18,27,38,43,44
20201125,27,29,31,33,35,49
20201128,1,3,11,32,33,36
20201129,7,12,18,34,38,42
20201201,1,17,22,27,34,36
20201202,12,23,27,29,41,49
20201205,9,15,20,26,30,39
20201206,4,6,19,25,30,34
20201209,1,18,19,32,45,49
20201212,4,14,29,30,45,46
20201213,22,26,31,38,43,50
20201216,2,11,23,28,40,45
20201219,4,11,17,21,22,45
20201220,10,14,32,37,46,49
20201223,10,25,30,31,34,37
20201226,6,7,19,31,32,45
20201227,4,9,25,30,43,44
20201230,8,11,17,18,33,40
20210102,1,19,33,41,43,49
20210103,7,9,17,21,27,40
20210106,3,11,18,31,35,45
20210109,19,23,33,40,43,48
20210110,1,4,18,31,46,49
20210113,10,25,29,35,45,46
20210116,8,31,32,35,37,49
20210117,2,7,11,34,39,45
20210120,2,6,24,35,40,44
20210123,8,23,28,43,45,47
20210124,3,5,13,19,24,26
20210126,1,17,21,35,40,44
20210127,9,22,27,34,39,40
20210130,5,6,11,18,24,43
20210131,3,9,15,17,31,47
20210202,6,11,16,25,29,46
20210203,12,15,20,21,36,50
20210206,5,21,22,23,41,42
20210207,2,16,20,36,40,50
20210209,10,16,17,25,35,49
20210210,20,29,34,44,47,49
20210213,9,16,30,41,42,44
20210214,1,7,10,16,17,47
20210216,2,15,21,42,43,50
20210217,18,25,32,34,40,46
20210220,3,13,21,26,29,30
20210221,4,9,16,29,30,50
20210224,7,9,13,22,24,46
20210227,7,9,14,16,29,36
20210228,7,15,20,21,27,28
20210302,4,10,11,13,34,49
20210303,3,5,6,20,28,40
20210306,22,26,33,40,43,49
20210307,8,19,23,31,41,42
20210310,5,25,29,31,44,45
20210313,23,27,34,41,43,45
20210314,9,18,36,39,43,45
20210317,3,22,29,34,36,43
20210320,4,14,24,28,32,43
20210321,16,17,21,23,33,40
20210324,3,16,19,21,36,50
20210327,8,19,30,33,35,38
20210328,9,12,15,35,44,45
20210330,13,17,21,36,37,49
20210331,1,3,22,40,44,45
20210403,11,13,15,16,17,21
20210404,2,3,4,19,38,41
20210406,10,19,28,38,41,47
20210407,6,9,22,24,43,46
20210410,9,17,37,40,44,49
20210411,11,17,25,30,47,49
20210414,7,41,44,46,48,49
20210417,4,27,43,45,46,50
20210418,22,28,31,33,43,44
20210421,4,7,10,13,38,42
20210424,1,7,15,24,32,50
20210425,24,30,31,38,42,48
20210428,8,10,12,16,22,50
20210501,20,21,30,37,42,47
20210502,5,8,12,13,18,20
20210505,5,18,20,29,33,42
20210508,2,10,31,40,45,49
20210509,6,15,17,41,45,46
20210512,1,4,15,29,33,39
20210515,19,27,34,35,42,49
20210516,18,20,23,37,41,42
20210519,5,19,24,25,42,43
20210522,1,3,9,10,17,49
20210523,2,9,17,34,35,41
20210525,3,22,34,38,45,48
20210526,10,11,21,31,36,50
20210529,6,10,11,17,18,36
20210530,18,27,38,40,45,50
20210915,3,22,35,37,42,48
20210918,13,18,19,20,24,27
20210919,8,22,38,43,44,45
20210922,19,27,40,41,46,50
20210925,15,25,30,32,47,49
20210926,1,18,19,24,40,42
20210928,9,23,29,32,43,45
20210929,2,7,10,15,26,32
20211002,11,13,24,25,26,34
20211003,2,14,17,20,22,31
20211005,4,7,8,20,34,38
20211006,14,34,39,42,46,48
20211009,5,12,24,35,43,50
20211010,7,24,25,34,43,44
20211013,6,15,28,30,31,41
20211016,1,4,20,26,34,38
20211017,6,11,14,20,26,32
20211020,4,11,15,18,35,36
20211023,10,17,23,28,29,43
20211024,16,27,31,33,45,47
20211026,1,24,26,29,43,44
20211027,14,18,25,26,41,49
20211030,19,21,37,41,45,49
20211031,2,3,26,29,37,45
20211102,9,16,17,33,42,47
20211103,3,16,18,19,38,50
20211106,7,8,9,15,16,22
20211107,17,19,21,41,43,49
20211110,2,13,17,24,42,46
20211113,9,26,37,44,47,50
20211114,14,17,22,24,32,48
20211117,3,12,21,24,33,36
20211120,15,18,29,34,35,43
20211121,6,11,21,28,30,32
20211124,4,13,18,32,33,43
20211127,1,7,10,11,30,46
20211128,2,19,20,37,39,41
20211130,11,16,19,23,26,42
20211201,2,10,17,19,32,45
20211204,3,18,39,40,41,47
20211205,9,11,19,26,44,48
20211207,7,11,18,28,42,50
20211208,3,12,25,36,45,46
20211211,3,5,18,23,26,43
20211212,30,31,38,43,46,47
20211215,2,13,24,27,46,50
20211218,8,18,20,21,31,32
20211219,1,22,30,31,38,48
20211222,15,18,22,29,31,48
20211225,1,15,22,26,27,44
20211226,17,27,35,38,39,47
20211228,10,12,15,31,36,37
20211229,8,18,36,37,48,49
20220101,4,20,21,36,42,49
20220102,2,12,20,25,39,43
20220105,9,10,11,24,36,46
20220108,1,3,21,25,26,28
20220109,6,28,31,35,40,42
20220112,7,20,26,31,36,47
20220115,9,31,38,40,41,49
20220116,3,10,24,45,47,49
20220119,2,10,27,33,38,49
20220122,1,3,30,37,39,42
20220123,7,9,15,18,25,34
20220125,14,24,26,28,41,50
20220126,3,9,24,25,30,50
20220129,33,34,35,43,45,46
20220130,4,20,22,30,42,47
20220202,5,6,26,30,32,34
20220205,6,24,27,31,47,50
20220206,8,9,24,38,45,49
20220208,12,13,14,29,44,45
20220209,3,11,30,34,35,42
20220212,3,6,18,22,23,29
20220213,20,23,27,35,47,49
